epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,284.936,0.51941,0.38094,0.8683,0.8249,0.68462,0.77718,0.55383,1.08588,0.69292,1.17104,0.000486094,0.000486094,0.000486094
129,286.97,0.54152,0.39592,0.88083,0.84999,0.68504,0.7813,0.57098,1.09076,0.66981,1.16656,0.000485544,0.000485544,0.000485544
130,289.751,0.55502,0.41591,0.87789,0.83186,0.70242,0.76976,0.55766,1.11707,0.71686,1.17563,0.000484993,0.000484993,0.000484993
131,291.826,0.53112,0.38306,0.89916,0.86959,0.67356,0.77111,0.56142,1.09754,0.72807,1.21118,0.000484443,0.000484443,0.000484443
132,293.9,0.5116,0.39616,0.88447,0.79143,0.68819,0.74494,0.52104,1.06812,0.73139,1.19526,0.000483892,0.000483892,0.000483892
133,295.991,0.56883,0.3973,0.87422,0.76808,0.69791,0.75247,0.51993,1.14265,0.68139,1.22137,0.000483342,0.000483342,0.000483342
134,298.211,0.59174,0.43673,0.8616,0.86201,0.69059,0.77445,0.53164,1.21128,0.72601,1.24434,0.000482791,0.000482791,0.000482791
135,300.261,0.58626,0.42291,0.88915,0.87225,0.67118,0.77715,0.52645,1.15403,0.72095,1.22019,0.000482241,0.000482241,0.000482241
136,302.328,0.55443,0.44346,0.89085,0.90065,0.65208,0.78131,0.53362,1.09635,0.70185,1.19662,0.000481691,0.000481691,0.000481691
137,304.397,0.55884,0.43724,0.87495,0.85061,0.65909,0.7791,0.51774,1.09953,0.73568,1.18996,0.00048114,0.00048114,0.00048114
138,306.443,0.60314,0.4315,0.90106,0.86518,0.64438,0.74842,0.47891,1.13987,0.79123,1.21929,0.00048059,0.00048059,0.00048059
139,308.518,0.52974,0.37899,0.85001,0.84388,0.68831,0.75636,0.4625,1.17957,0.75371,1.27672,0.000480039,0.000480039,0.000480039
140,310.756,0.54981,0.40012,0.87072,0.79172,0.70688,0.76939,0.47621,1.25278,0.74117,1.33294,0.000479489,0.000479489,0.000479489
141,312.862,0.51248,0.36082,0.85196,0.80923,0.68479,0.75741,0.50031,1.23027,0.70082,1.27748,0.000478938,0.000478938,0.000478938
142,314.928,0.54467,0.3884,0.87937,0.72411,0.74745,0.76537,0.51671,1.09662,0.65116,1.21259,0.000478388,0.000478388,0.000478388
143,316.991,0.53233,0.36668,0.86517,0.85027,0.64237,0.76007,0.51406,1.04442,0.64753,1.17115,0.000477838,0.000477838,0.000477838
144,319.056,0.54533,0.37733,0.86425,0.80857,0.64143,0.76431,0.52463,1.07914,0.6693,1.20665,0.000477287,0.000477287,0.000477287
145,321.11,0.56306,0.39322,0.86976,0.77629,0.70552,0.77616,0.51698,1.10594,0.68906,1.22719,0.000476737,0.000476737,0.000476737
146,323.328,0.50906,0.36149,0.85937,0.86194,0.69822,0.80328,0.51865,1.03646,0.67227,1.23099,0.000476186,0.000476186,0.000476186
147,325.396,0.52649,0.38765,0.86762,0.84302,0.71577,0.80039,0.51239,1.08369,0.64906,1.22184,0.000475636,0.000475636,0.000475636
148,327.49,0.55156,0.37094,0.85154,0.87613,0.66734,0.76577,0.52441,1.08822,0.64886,1.20804,0.000475085,0.000475085,0.000475085
149,329.585,0.53182,0.36491,0.86397,0.81706,0.70267,0.77127,0.52292,1.0928,0.65605,1.19452,0.000474535,0.000474535,0.000474535
150,331.638,0.57817,0.38837,0.88034,0.86275,0.69917,0.77824,0.53025,1.09872,0.65522,1.2071,0.000473984,0.000473984,0.000473984
151,333.713,0.5282,0.34958,0.86225,0.84776,0.70125,0.77556,0.52702,1.16851,0.70539,1.21138,0.000473434,0.000473434,0.000473434
152,335.937,0.54703,0.36311,0.8422,0.8305,0.70953,0.79613,0.54041,1.16633,0.70162,1.24099,0.000472884,0.000472884,0.000472884
153,337.978,0.49802,0.35607,0.83596,0.86076,0.6945,0.77675,0.53234,1.23062,0.6828,1.24589,0.000472333,0.000472333,0.000472333
154,340.028,0.54943,0.38355,0.85322,0.87771,0.68419,0.76514,0.52915,1.21432,0.75124,1.25509,0.000471783,0.000471783,0.000471783
155,342.098,0.5078,0.37714,0.87419,0.85682,0.69985,0.77892,0.54849,1.10732,0.83981,1.19409,0.000471232,0.000471232,0.000471232
156,344.159,0.543,0.37004,0.86448,0.82047,0.69775,0.78032,0.55068,1.16501,0.95217,1.15403,0.000470682,0.000470682,0.000470682
157,346.232,0.50665,0.36208,0.83655,0.83104,0.68676,0.74432,0.52288,1.09918,0.82832,1.13128,0.000470131,0.000470131,0.000470131
158,348.473,0.50938,0.35451,0.8864,0.88285,0.68525,0.78133,0.54448,1.11283,0.7584,1.13746,0.000469581,0.000469581,0.000469581
159,350.539,0.56467,0.40568,0.87883,0.84638,0.70325,0.79433,0.54428,1.14477,0.71761,1.16515,0.00046903,0.00046903,0.00046903
160,352.606,0.48332,0.37703,0.84727,0.76611,0.73831,0.80315,0.54785,1.17764,0.73745,1.19402,0.00046848,0.00046848,0.00046848
161,354.658,0.54076,0.37541,0.86229,0.80505,0.69298,0.75792,0.53528,1.11969,0.72708,1.19576,0.00046793,0.00046793,0.00046793
162,356.702,0.58087,0.39601,0.8496,0.83162,0.69915,0.76641,0.54032,1.04843,0.66823,1.1683,0.000467379,0.000467379,0.000467379
163,358.739,0.48123,0.3527,0.83341,0.82278,0.71152,0.77395,0.54452,1.12802,0.69193,1.1883,0.000466829,0.000466829,0.000466829
164,360.98,0.48716,0.33403,0.84779,0.84198,0.71669,0.80435,0.56108,1.12834,0.70504,1.17757,0.000466278,0.000466278,0.000466278
165,363.036,0.53674,0.37956,0.89343,0.8716,0.73218,0.81078,0.56023,1.1332,0.67128,1.15971,0.000465728,0.000465728,0.000465728
166,365.095,0.478,0.36337,0.85428,0.84393,0.72478,0.79932,0.55738,1.12289,0.67462,1.17205,0.000465177,0.000465177,0.000465177
